id,disease,symptoms,herbs_used,precautions,prevention,preparation
442,Fungal Skin Infection,"abdominal pain, anxiety, productive cough","Bibhitaki, Haritaki, Neem, Shatavari","Avoid cold food, Avoid oily food, Maintain hydration","Balanced diet, Regular exercise","Using Bibhitaki, Haritaki, Neem, Shatavari, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2077,Tinnitus (Early Stage),"dry cough, low energy, skin rash","Gokshura, Haritaki, Neem","Avoid cold food, Avoid spicy food","Adequate sleep routine, Regular exercise","Using Gokshura, Haritaki, Neem, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3181,Urinary Tract Infection,"anxiety, back pain, chest discomfort, constipation, dizziness, itching","Arjuna, Gokshura, Punarnava","Avoid stress, Maintain hydration","Herbal immune boosters, Regular exercise, Stress management","Using Arjuna, Gokshura, Punarnava, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2658,Anxiety Disorder (Mild),"chest discomfort, diarrhea, itching","Ginger, Tulsi","Ensure adequate sleep, Maintain hydration","Daily yoga practice, Herbal immune boosters","Using Ginger, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3799,Constipation Disorder,"anxiety, dizziness, dry cough, joint pain, skin rash","Bibhitaki, Guduchi, Haritaki, Pippali","Avoid alcohol, Avoid stress","Balanced diet, Daily yoga practice","Using Bibhitaki, Guduchi, Haritaki, Pippali, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
805,Vertigo,"fever, insomnia, loss of appetite, nausea, shortness of breath, skin rash","Amla, Haritaki, Punarnava, Turmeric","Avoid stress, Light and warm diet, Maintain hydration","Balanced diet, Stress management","Using Amla, Haritaki, Punarnava, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
75,Bronchitis,"abdominal pain, fatigue, shortness of breath","Amla, Punarnava","Avoid stress, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Amla, Punarnava, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2176,Urinary Tract Infection,"constipation, frequent urination, itching","Bibhitaki, Ginger, Manjistha","Avoid stress, Do not overexert, Ensure adequate sleep","Adequate sleep routine, Balanced diet, Stress management","Using Bibhitaki, Ginger, Manjistha, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3925,Indigestion,"back pain, fatigue, frequent urination, shortness of breath, sore throat","Amla, Bibhitaki, Haritaki, Shatavari","Avoid cold food, Ensure adequate sleep","Adequate sleep routine, Regular exercise","Using Amla, Bibhitaki, Haritaki, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2090,Psoriasis,"fever, frequent urination, headache, muscle pain, skin rash","Ginger, Haritaki, Punarnava, Turmeric","Avoid spicy food, Avoid stress, Do not overexert","Adequate sleep routine, Herbal immune boosters, Regular exercise","Using Ginger, Haritaki, Punarnava, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
41,Constipation Disorder,"anxiety, body ache, itching, shortness of breath","Gokshura, Pippali","Avoid alcohol, Avoid spicy food, Maintain hydration","Herbal immune boosters, Regular exercise","Using Gokshura, Pippali, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2082,Urinary Tract Infection,"fever, joint pain, nausea, productive cough","Arjuna, Manjistha","Avoid oily food, Avoid stress, Do not overexert","Herbal immune boosters, Seasonal immunity support","Using Arjuna, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4684,Seasonal Fever,"anxiety, fever, muscle pain, shortness of breath, sore throat, vomiting","Pippali, Tulsi","Avoid alcohol, Ensure adequate sleep","Regular exercise, Stress management","Using Pippali, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1623,Acid Reflux,"abdominal pain, headache, itching, nausea, vomiting","Ginger, Punarnava, Shatavari","Avoid alcohol, Avoid cold food, Ensure adequate sleep","Balanced diet, Daily yoga practice, Regular exercise","Using Ginger, Punarnava, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
342,Peptic Ulcer,"body ache, nausea, shortness of breath","Arjuna, Turmeric","Avoid cold food, Light and warm diet, Maintain hydration","Adequate sleep routine, Balanced diet, Regular exercise","Using Arjuna, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4053,Vitamin B12 Deficiency,"fatigue, itching, loss of appetite, low energy, shortness of breath","Ginger, Haritaki, Neem","Avoid spicy food, Maintain hydration","Balanced diet, Herbal immune boosters","Using Ginger, Haritaki, Neem, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2075,Sinusitis,"diarrhea, dry cough, joint pain","Arjuna, Pippali","Avoid spicy food, Maintain hydration","Daily yoga practice, Regular exercise, Stress management","Using Arjuna, Pippali, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
646,Bacterial Fever,"burning sensation, fever, low energy, productive cough, shortness of breath","Ginger, Guduchi, Shatavari","Avoid alcohol, Avoid spicy food, Do not overexert","Daily yoga practice, Regular exercise","Using Ginger, Guduchi, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
4827,Seasonal Allergy,"body ache, constipation, diarrhea, dizziness, sore throat","Bibhitaki, Neem","Avoid oily food, Maintain hydration","Balanced diet, Herbal immune boosters, Seasonal immunity support","Using Bibhitaki, Neem, Make a light decoction from the herbs and consume warm, preferably after food."
4264,Productive Cough,"anxiety, body ache, dry cough, fever, loss of appetite, shortness of breath","Bibhitaki, Guduchi, Tulsi","Avoid alcohol, Avoid spicy food, Maintain hydration","Balanced diet, Regular exercise, Seasonal immunity support","Using Bibhitaki, Guduchi, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
610,Anemia,"body ache, fever, frequent urination, insomnia, sore throat","Ginger, Neem, Tulsi","Light and warm diet, Maintain hydration","Daily yoga practice, Stress management","Using Ginger, Neem, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
455,Dehydration,"dizziness, itching, loss of appetite, productive cough, shortness of breath","Guduchi, Manjistha, Pippali, Punarnava","Avoid cold food, Ensure adequate sleep, Light and warm diet","Adequate sleep routine, Balanced diet, Regular exercise","Using Guduchi, Manjistha, Pippali, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2954,Dehydration,"abdominal pain, diarrhea, fatigue, headache, loss of appetite, low energy","Ashwagandha, Brahmi, Pippali","Avoid alcohol, Do not overexert, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters","Using Ashwagandha, Brahmi, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
1709,Thyroid Imbalance,"fever, headache, insomnia, sore throat","Shatavari, Tulsi","Avoid alcohol, Avoid stress","Balanced diet, Regular exercise, Stress management","Using Shatavari, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
3473,Joint Inflammation,"anxiety, frequent urination, itching, loss of appetite, low energy","Bibhitaki, Haritaki","Avoid oily food, Maintain hydration","Regular exercise, Seasonal immunity support, Stress management","Using Bibhitaki, Haritaki, Boil herbs in water, strain well, and drink fresh for symptom relief."
2970,Common Cold,"anxiety, dry cough, fatigue, itching, loss of appetite, vomiting","Arjuna, Ginger, Pippali","Light and warm diet, Maintain hydration","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Arjuna, Ginger, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3029,Prediabetes,"chest discomfort, diarrhea, dizziness, vomiting","Amla, Manjistha","Avoid cold food, Avoid spicy food","Herbal immune boosters, Stress management","Using Amla, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4798,Type 2 Diabetes (Early Stage),"abdominal pain, body ache, burning sensation, diarrhea, joint pain, nausea","Bibhitaki, Manjistha, Pippali, Tulsi","Avoid oily food, Maintain hydration","Adequate sleep routine, Stress management","Using Bibhitaki, Manjistha, Pippali, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2682,Tension Headache,"abdominal pain, itching, sore throat","Arjuna, Guduchi, Haritaki, Shatavari","Avoid spicy food, Ensure adequate sleep, Light and warm diet","Balanced diet, Regular exercise","Using Arjuna, Guduchi, Haritaki, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3630,Loss of Appetite,"abdominal pain, dizziness, headache, nausea","Ginger, Guduchi","Avoid oily food, Avoid stress, Ensure adequate sleep","Herbal immune boosters, Regular exercise, Stress management","Using Ginger, Guduchi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4226,Generalized Fatigue Syndrome,"abdominal pain, back pain, dizziness, insomnia, low energy, nausea","Ashwagandha, Haritaki, Neem","Avoid cold food, Avoid oily food, Avoid stress","Daily yoga practice, Regular exercise","Using Ashwagandha, Haritaki, Neem, Boil herbs in water, strain well, and drink fresh for symptom relief."
3068,Peptic Ulcer,"abdominal pain, back pain, diarrhea, dry cough, frequent urination, loss of appetite","Haritaki, Turmeric","Avoid alcohol, Avoid oily food, Ensure adequate sleep","Adequate sleep routine, Balanced diet","Using Haritaki, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1387,Migraine,"constipation, insomnia, skin rash","Brahmi, Manjistha","Avoid stress, Do not overexert, Light and warm diet","Adequate sleep routine, Balanced diet, Herbal immune boosters","Using Brahmi, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
3777,Peptic Ulcer,"dizziness, frequent urination, itching, productive cough, shortness of breath","Ashwagandha, Manjistha","Avoid alcohol, Avoid spicy food, Avoid stress","Balanced diet, Daily yoga practice, Stress management","Using Ashwagandha, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2867,Sinusitis,"anxiety, joint pain, sore throat","Manjistha, Shatavari","Avoid oily food, Light and warm diet","Balanced diet, Herbal immune boosters, Regular exercise","Using Manjistha, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4789,Hypothyroidism (Mild),"body ache, constipation, frequent urination, headache","Gokshura, Punarnava, Tulsi, Turmeric","Avoid alcohol, Avoid oily food, Avoid stress","Herbal immune boosters, Stress management","Using Gokshura, Punarnava, Tulsi, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3364,Bronchitis,"body ache, fever, joint pain","Neem, Pippali","Avoid cold food, Avoid oily food","Balanced diet, Daily yoga practice, Seasonal immunity support","Using Neem, Pippali, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4890,Food Poisoning,"burning sensation, fatigue, joint pain, productive cough","Manjistha, Tulsi","Avoid alcohol, Avoid stress, Light and warm diet","Balanced diet, Daily yoga practice","Using Manjistha, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4125,Tinnitus (Early Stage),"back pain, low energy, productive cough, sore throat","Arjuna, Guduchi","Avoid cold food, Do not overexert, Maintain hydration","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Arjuna, Guduchi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
149,Productive Cough,"body ache, constipation, dizziness, muscle pain","Arjuna, Ashwagandha, Brahmi, Pippali","Avoid cold food, Light and warm diet","Adequate sleep routine, Seasonal immunity support, Stress management","Using Arjuna, Ashwagandha, Brahmi, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
3851,Eczema,"chest discomfort, headache, joint pain, skin rash","Arjuna, Turmeric","Avoid oily food, Avoid stress, Do not overexert","Balanced diet, Herbal immune boosters","Using Arjuna, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2059,Peptic Ulcer,"body ache, chest discomfort, skin rash","Amla, Haritaki, Neem, Tulsi","Avoid alcohol, Do not overexert","Balanced diet, Seasonal immunity support, Stress management","Using Amla, Haritaki, Neem, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1137,Joint Inflammation,"abdominal pain, anxiety, back pain, burning sensation, dry cough, itching","Brahmi, Gokshura, Guduchi, Neem","Avoid spicy food, Light and warm diet","Adequate sleep routine, Regular exercise, Seasonal immunity support","Using Brahmi, Gokshura, Guduchi, Neem, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
187,Tension Headache,"constipation, loss of appetite, sore throat","Gokshura, Manjistha","Do not overexert, Light and warm diet","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Gokshura, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
2855,Seasonal Fever,"abdominal pain, fatigue, headache","Ginger, Guduchi, Tulsi","Avoid spicy food, Do not overexert","Balanced diet, Stress management","Using Ginger, Guduchi, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
1251,Skin Allergy,"dizziness, fatigue, fever, insomnia, skin rash","Amla, Arjuna","Avoid spicy food, Maintain hydration","Balanced diet, Stress management","Using Amla, Arjuna, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1334,Peptic Ulcer,"abdominal pain, constipation, fever, shortness of breath","Amla, Arjuna, Haritaki, Shatavari","Do not overexert, Ensure adequate sleep","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Amla, Arjuna, Haritaki, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
4194,Vertigo,"abdominal pain, burning sensation, fever, joint pain","Haritaki, Neem","Avoid alcohol, Avoid spicy food, Ensure adequate sleep","Regular exercise, Seasonal immunity support","Using Haritaki, Neem, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4151,Food Poisoning,"anxiety, dizziness, fatigue","Haritaki, Neem","Avoid spicy food, Avoid stress","Adequate sleep routine, Regular exercise","Using Haritaki, Neem, Boil herbs in water, strain well, and drink fresh for symptom relief."
2712,Seasonal Allergy,"diarrhea, dry cough, fever, nausea, shortness of breath","Amla, Brahmi, Gokshura, Tulsi","Avoid oily food, Maintain hydration","Adequate sleep routine, Daily yoga practice, Stress management","Using Amla, Brahmi, Gokshura, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4854,Early Hypotension,"anxiety, muscle pain, productive cough","Gokshura, Guduchi, Manjistha, Shatavari","Avoid alcohol, Ensure adequate sleep","Herbal immune boosters, Regular exercise, Seasonal immunity support","Using Gokshura, Guduchi, Manjistha, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4502,Mild Asthma,"fatigue, frequent urination, headache, muscle pain, nausea, sore throat","Brahmi, Gokshura, Shatavari, Turmeric","Avoid alcohol, Avoid cold food, Ensure adequate sleep","Daily yoga practice, Herbal immune boosters, Regular exercise","Using Brahmi, Gokshura, Shatavari, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
1786,Sleep Disturbance Disorder,"frequent urination, low energy, shortness of breath, sore throat","Amla, Gokshura","Avoid alcohol, Avoid oily food, Avoid spicy food","Adequate sleep routine, Seasonal immunity support, Stress management","Using Amla, Gokshura, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
751,Early Hypotension,"body ache, diarrhea, muscle pain","Ashwagandha, Bibhitaki, Gokshura, Turmeric","Do not overexert, Maintain hydration","Daily yoga practice, Seasonal immunity support, Stress management","Using Ashwagandha, Bibhitaki, Gokshura, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1763,Stress-Induced Insomnia,"abdominal pain, dry cough, muscle pain, productive cough, sore throat, vomiting","Arjuna, Ashwagandha, Punarnava","Avoid alcohol, Light and warm diet, Maintain hydration","Herbal immune boosters, Regular exercise, Stress management","Using Arjuna, Ashwagandha, Punarnava, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3921,Acid Reflux,"abdominal pain, constipation, frequent urination, loss of appetite, skin rash","Ginger, Guduchi, Pippali","Avoid oily food, Avoid stress, Maintain hydration","Balanced diet, Herbal immune boosters","Using Ginger, Guduchi, Pippali, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4461,Sinusitis,"body ache, dry cough, low energy, productive cough","Arjuna, Turmeric","Avoid alcohol, Do not overexert, Light and warm diet","Daily yoga practice, Regular exercise","Using Arjuna, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
482,Food Poisoning,"body ache, dry cough, joint pain, vomiting","Amla, Tulsi","Avoid stress, Light and warm diet, Maintain hydration","Balanced diet, Seasonal immunity support, Stress management","Using Amla, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
154,Tension Headache,"fatigue, frequent urination, skin rash, sore throat","Brahmi, Gokshura, Manjistha","Do not overexert, Ensure adequate sleep","Balanced diet, Daily yoga practice, Regular exercise","Using Brahmi, Gokshura, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
1525,Peptic Ulcer,"loss of appetite, muscle pain, productive cough, sore throat","Amla, Arjuna, Ginger","Avoid alcohol, Avoid stress","Herbal immune boosters, Seasonal immunity support, Stress management","Using Amla, Arjuna, Ginger, Boil herbs in water, strain well, and drink fresh for symptom relief."
2121,Mild Hypertension,"anxiety, back pain, diarrhea, joint pain, skin rash","Amla, Haritaki","Avoid alcohol, Ensure adequate sleep","Herbal immune boosters, Regular exercise, Stress management","Using Amla, Haritaki, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2344,Psoriasis,"body ache, diarrhea, insomnia, itching, low energy","Ashwagandha, Brahmi, Ginger, Tulsi","Avoid spicy food, Ensure adequate sleep, Maintain hydration","Balanced diet, Daily yoga practice, Regular exercise","Using Ashwagandha, Brahmi, Ginger, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1241,Constipation Disorder,"dizziness, dry cough, frequent urination, joint pain, loss of appetite","Haritaki, Manjistha","Avoid cold food, Avoid oily food, Do not overexert","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Haritaki, Manjistha, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
61,Osteoarthritis,"dry cough, joint pain, shortness of breath, skin rash, sore throat, vomiting","Manjistha, Neem","Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Manjistha, Neem, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
939,Productive Cough,"anxiety, chest discomfort, fatigue, joint pain, nausea, shortness of breath","Amla, Punarnava","Avoid alcohol, Ensure adequate sleep","Herbal immune boosters, Seasonal immunity support","Using Amla, Punarnava, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1640,Mild Hypertension,"anxiety, body ache, diarrhea","Amla, Brahmi, Ginger, Haritaki","Avoid cold food, Avoid spicy food, Light and warm diet","Regular exercise, Seasonal immunity support","Using Amla, Brahmi, Ginger, Haritaki, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4121,Acid Reflux,"back pain, diarrhea, nausea, sore throat","Bibhitaki, Pippali, Shatavari, Turmeric","Avoid cold food, Avoid spicy food, Avoid stress","Adequate sleep routine, Regular exercise","Using Bibhitaki, Pippali, Shatavari, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4227,Productive Cough,"chest discomfort, productive cough, skin rash, sore throat","Bibhitaki, Neem, Pippali","Avoid stress, Do not overexert, Light and warm diet","Herbal immune boosters, Regular exercise","Using Bibhitaki, Neem, Pippali, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3570,Heat Exhaustion,"dizziness, dry cough, fatigue, frequent urination, itching, muscle pain","Ginger, Manjistha, Neem, Turmeric","Avoid cold food, Maintain hydration","Balanced diet, Daily yoga practice, Stress management","Using Ginger, Manjistha, Neem, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
1253,Psoriasis,"dry cough, insomnia, sore throat","Brahmi, Ginger, Guduchi","Avoid alcohol, Avoid spicy food, Avoid stress","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Brahmi, Ginger, Guduchi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4204,Seasonal Allergy,"fatigue, fever, joint pain, nausea","Arjuna, Bibhitaki, Brahmi, Haritaki","Do not overexert, Light and warm diet","Adequate sleep routine, Herbal immune boosters, Stress management","Using Arjuna, Bibhitaki, Brahmi, Haritaki, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
172,Joint Inflammation,"burning sensation, diarrhea, dry cough, frequent urination, sore throat","Gokshura, Manjistha, Punarnava","Avoid spicy food, Maintain hydration","Daily yoga practice, Stress management","Using Gokshura, Manjistha, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1459,Productive Cough,"back pain, dizziness, fatigue, sore throat","Guduchi, Haritaki","Do not overexert, Ensure adequate sleep","Adequate sleep routine, Seasonal immunity support","Using Guduchi, Haritaki, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3550,Food Poisoning,"anxiety, back pain, chest discomfort, diarrhea, fatigue, sore throat","Arjuna, Gokshura, Manjistha, Shatavari","Avoid spicy food, Do not overexert","Adequate sleep routine, Herbal immune boosters","Using Arjuna, Gokshura, Manjistha, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
4198,Joint Inflammation,"abdominal pain, frequent urination, vomiting","Brahmi, Pippali","Avoid cold food, Avoid stress, Maintain hydration","Adequate sleep routine, Stress management","Using Brahmi, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2323,Bacterial Fever,"constipation, dry cough, fever, headache, low energy","Arjuna, Haritaki","Avoid cold food, Avoid spicy food, Light and warm diet","Herbal immune boosters, Seasonal immunity support","Using Arjuna, Haritaki, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1637,Loss of Appetite,"abdominal pain, itching, sore throat","Ginger, Shatavari, Turmeric","Avoid oily food, Do not overexert","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Ginger, Shatavari, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3116,Eye Irritation,"abdominal pain, body ache, constipation, low energy","Gokshura, Haritaki, Turmeric","Avoid oily food, Avoid stress, Maintain hydration","Balanced diet, Seasonal immunity support","Using Gokshura, Haritaki, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4091,Gastritis,"anxiety, dizziness, frequent urination, headache","Haritaki, Manjistha, Pippali, Tulsi","Avoid alcohol, Avoid cold food, Avoid oily food","Balanced diet, Herbal immune boosters, Regular exercise","Using Haritaki, Manjistha, Pippali, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3005,Rheumatoid Arthritis,"abdominal pain, anxiety, constipation, diarrhea, insomnia, itching","Gokshura, Shatavari, Tulsi","Avoid stress, Maintain hydration","Regular exercise, Seasonal immunity support, Stress management","Using Gokshura, Shatavari, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
330,Sleep Disturbance Disorder,"dizziness, dry cough, headache, loss of appetite, productive cough, vomiting","Brahmi, Neem","Do not overexert, Ensure adequate sleep, Light and warm diet","Herbal immune boosters, Regular exercise","Using Brahmi, Neem, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3641,Osteoarthritis,"abdominal pain, back pain, constipation, fever, insomnia, vomiting","Brahmi, Gokshura, Haritaki, Manjistha","Avoid alcohol, Avoid oily food, Do not overexert","Seasonal immunity support, Stress management","Using Brahmi, Gokshura, Haritaki, Manjistha, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3895,Psoriasis,"fatigue, itching, joint pain, muscle pain","Guduchi, Haritaki, Turmeric","Avoid alcohol, Maintain hydration","Daily yoga practice, Seasonal immunity support","Using Guduchi, Haritaki, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
4108,Thyroid Imbalance,"back pain, dry cough, fatigue, loss of appetite","Brahmi, Neem","Avoid oily food, Avoid stress, Maintain hydration","Balanced diet, Herbal immune boosters, Regular exercise","Using Brahmi, Neem, Boil herbs in water, strain well, and drink fresh for symptom relief."
1342,Bacterial Fever,"anxiety, dry cough, itching, low energy, vomiting","Bibhitaki, Guduchi, Pippali","Avoid cold food, Avoid stress, Maintain hydration","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Bibhitaki, Guduchi, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3664,Bronchitis,"anxiety, burning sensation, chest discomfort, frequent urination, itching, low energy","Brahmi, Ginger, Neem","Avoid alcohol, Avoid cold food","Balanced diet, Daily yoga practice, Regular exercise","Using Brahmi, Ginger, Neem, Make a light decoction from the herbs and consume warm, preferably after food."
216,Dry Eye Syndrome,"body ache, diarrhea, frequent urination, headache","Gokshura, Tulsi","Ensure adequate sleep, Light and warm diet","Balanced diet, Seasonal immunity support, Stress management","Using Gokshura, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
339,Stress-Induced Insomnia,"constipation, diarrhea, itching, muscle pain, nausea, skin rash","Ginger, Gokshura, Manjistha, Neem","Avoid alcohol, Avoid oily food","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Ginger, Gokshura, Manjistha, Neem, Make a light decoction from the herbs and consume warm, preferably after food."
4063,Fungal Skin Infection,"burning sensation, diarrhea, frequent urination","Brahmi, Ginger, Gokshura, Guduchi","Avoid alcohol, Avoid cold food, Avoid oily food","Balanced diet, Herbal immune boosters, Seasonal immunity support","Using Brahmi, Ginger, Gokshura, Guduchi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2709,Constipation Disorder,"dry cough, fatigue, insomnia, joint pain, low energy","Amla, Ashwagandha, Ginger, Pippali","Avoid spicy food, Do not overexert, Maintain hydration","Balanced diet, Herbal immune boosters","Using Amla, Ashwagandha, Ginger, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3153,Sleep Disturbance Disorder,"abdominal pain, chest discomfort, low energy, nausea, skin rash","Arjuna, Manjistha","Avoid cold food, Ensure adequate sleep, Maintain hydration","Seasonal immunity support, Stress management","Using Arjuna, Manjistha, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1751,Hypothyroidism (Mild),"body ache, itching, vomiting","Amla, Ginger, Haritaki, Shatavari","Avoid stress, Light and warm diet","Adequate sleep routine, Balanced diet","Using Amla, Ginger, Haritaki, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
2422,Allergic Rhinitis,"abdominal pain, body ache, dizziness, insomnia, itching, loss of appetite","Arjuna, Ashwagandha, Bibhitaki","Avoid cold food, Light and warm diet","Balanced diet, Regular exercise","Using Arjuna, Ashwagandha, Bibhitaki, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
710,Allergic Rhinitis,"constipation, dizziness, insomnia, itching, nausea, productive cough","Ashwagandha, Gokshura","Light and warm diet, Maintain hydration","Adequate sleep routine, Daily yoga practice, Seasonal immunity support","Using Ashwagandha, Gokshura, Make a light decoction from the herbs and consume warm, preferably after food."
3727,Irritable Bowel Syndrome,"abdominal pain, fever, frequent urination, joint pain, loss of appetite, skin rash","Gokshura, Neem","Avoid alcohol, Avoid spicy food, Avoid stress","Adequate sleep routine, Seasonal immunity support","Using Gokshura, Neem, Boil herbs in water, strain well, and drink fresh for symptom relief."
3643,Bacterial Fever,"diarrhea, joint pain, loss of appetite","Guduchi, Manjistha, Neem, Turmeric","Do not overexert, Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Regular exercise, Seasonal immunity support","Using Guduchi, Manjistha, Neem, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3994,Acid Reflux,"abdominal pain, itching, low energy, skin rash","Bibhitaki, Ginger, Guduchi, Haritaki","Avoid stress, Ensure adequate sleep, Light and warm diet","Adequate sleep routine, Regular exercise","Using Bibhitaki, Ginger, Guduchi, Haritaki, Make a light decoction from the herbs and consume warm, preferably after food."
